"ADGROUP_PERFORMANCE_REPORT (Jan 1, 2018-Jun 1, 2018)",,,,,,,,,,,,
Ad group,Default max. CPC,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,Search Impr. share,Search Exact match IS
Agrochemicals,35000000,6,155,3.87%,19300000,115800000,2.5,0,0,0.00%,50.00%,52.17%
Defoamers,45000000,0,11,0.00%,0,0,2.4,0,0,0.00%,61.11%,70.00%
Smart Glass,45000000,3,44,6.82%,34580000,103740000,2.3,0,0,0.00%,43.14%,52.63%
Healthcare IT,35000000,5,234,2.14%,22514000,112570000,3,0,0,0.00%,28.77%,28.57%
Specialty Chemicals,35000000,10,233,4.29%,39471000,394710000,2.4,0,0,0.00%,50.43%,57.41%
Remote Patient Monitoring,35000000,5,137,3.65%,33182000,165910000,2.9,1,165910000,20.00%,39.48%,45.83%
Intra Ocular Lens,45000000,0,25,0.00%,0,0,3.1,0,0,0.00%,39.68%,50.00%
Polyurethane,35000000,3,115,2.61%,60716667,182150000,2.5,0,0,0.00%,53.00%,71.43%
Mobile Health,35000000,5,70,7.14%,34552000,172760000,1.8,0,0,0.00%,45.45%,36.36%
Bio Fertilizers,45000000,6,44,13.64%,20043333,120260000,2,0,0,0.00%,42.31%,57.14%
High Density Polyethylene,35000000,2,46,4.35%,29485000,58970000,1.9,0,0,0.00%,41.44%,44.44%
Atopic Dermatitis,35000000,2,69,2.90%,23850000,47700000,1.5,0,0,0.00%,41.98%,20.83%
Animal Feed Additives,35000000,4,66,6.06%,34317500,137270000,2.3,0,0,0.00%,64.71%,60.87%
Computed Tomography,35000000,0,39,0.00%,0,0,1.9,0,0,0.00%,69.64%,100.00%
Evaporative Cooling,45000000,1,42,2.38%,33600000,33600000,2.7,1,33600000,100.00%,50.60%,100.00%
Next Generation Sequencing,35000000,2,74,2.70%,26460000,52920000,3.6,0,0,0.00%,29.72%,35.29%
Osteoporosis,45000000,1,9,11.11%,16390000,16390000,4.4,0,0,0.00%,56.25%,< 10%
Lubricants,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Steel,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Yogurt,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Meal Kit,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Energy Drinks,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Molecular Diagnostics,35000000,3,121,2.48%,62956667,188870000,2.4,0,0,0.00%,53.54%,66.00%
Medical Imaging,35000000,2,105,1.90%,18220000,36440000,2.6,0,0,0.00%,44.12%,51.61%
Telemedicine,35000000,23,620,3.71%,35083043,806910000,2.1,2,403455000,8.70%,43.90%,50.00%
Plant Proteins,35000000,3,26,11.54%,22643333,67930000,1.7,0,0,0.00%,48.15%,100.00%
Collagen,35000000,2,29,6.90%,22400000,44800000,1.7,0,0,0.00%,61.70%,60.00%
Flax Seed,35000000,3,66,4.55%,33940000,101820000,1.4,0,0,0.00%,26.83%,42.86%
Soy Protein,35000000,3,68,4.41%,16280000,48840000,1.6,0,0,0.00%,51.91%,63.64%
Glaucoma Therapeutic,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Sugar Reduction,115000000,0,18,0.00%,0,0,1.4,0,0,0.00%,54.55%, --
Local Anesthsia Drugs,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Acne Vulgaris,190000000,1,10,10.00%,111110000,111110000,1,0,0,0.00%,90.91%,100.00%
Nucleic Acid Isolation and Purification,190000000,2,14,14.29%,76760000,153520000,2.3,0,0,0.00%,66.67%,71.43%
Precision Medicine,115000000,9,180,5.00%,67537778,607840000,1.3,0,0,0.00%,63.70%,72.73%
Fetal Neonatal Monitoring,115000000,0,3,0.00%,0,0,1.7,0,0,0.00%,100.00%, --
Fire Safety Equipment,190000000,2,27,7.41%,55110000,110220000,1.1,0,0,0.00%,72.97%,100.00%
Cbd Water,190000000,2,10,20.00%,113670000,227340000,1,0,0,0.00%,76.92%, --
Pressure Ulcers,190000000,1,19,5.26%,76580000,76580000,1.1,0,0,0.00%,95.00%,83.33%
Lipid Disorder,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Patient Monitoring Accessories,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Micro-ElecroMechanical Sensors,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Industrial Coatings,115000000,6,110,5.45%,50170000,301020000,2.4,0,0,0.00%,69.18%,80.77%
Patient Monitoring Equipments,190000000,0,7,0.00%,0,0,1.9,0,0,0.00%,100.00%,100.00%
